text,username,time,image,location,engagement,label
"Red Tide Update - Aug. 3

Aerial surveys conducted by @MyFWC on Monday showed discolored water especially from south Venice to Longboat Key w/ conditions worse near Siesta Key. 

Red Tide Dashboard ➡  

 | #SRQCounty #SRQCountyParks . https   app smartsheet com b publish. https   www scgov net government parks recreation and natural resources find a park beaches red tide status. https   twitter com SRQCountyGov status 1422644346990518277 photo 1",SRQCountyGov,{'$date': '2021-08-03T00:00:00Z'},https://pbs.twimg.com/profile_images/828700317411835906/9JgPlC9p_normal.jpg,Manatee,16,No Label
"RT @MRMasferrer: #RedTide detected in Manatee County waters. If #PineyPoint's dirty water hits it, it could get a lot worse.

. https   www bradenton com news local article250894409 html",jonwebber,{'$date': '2021-04-23T00:00:00Z'},https://pbs.twimg.com/profile_images/766718807230582784/lFga_hDQ_normal.jpg,Manatee,15,other
We’ve never been so excited to see Atlantic sharpnose! First live shark since the red tide bloom hit the bay in August 2018. Hopefully a sign we’re on the path to recovery. #sharkscience #sarasotabay #gulfspan #redtiderecovery . https   twitter com GardinerLab status 1122887101702389761 photo 1,GardinerLab,{'$date': '2019-04-29T00:00:00Z'},https://pbs.twimg.com/profile_images/1227982402565419008/8EjrYn-H_normal.jpg,Sarasota,54,No Label
"""Unfortunately some of them, if not all of them, might die."" 

Sharks that have recently been spotted in canals near Longboat Key are trying to find a safe haven away from red tide, @MoteMarineLab experts tell @WFLAAllyson.  . https   www wfla com news local news sharks seen in longboat key canals are trying to avoid red tide experts say. https   twitter com WFLA status 1419785446385664001 photo 1",WFLA,{'$date': '2021-07-26T00:00:00Z'},https://pbs.twimg.com/profile_images/1539812844660719616/2FlxM4l8_normal.jpg,Manatee,14,media
"@NikkiFried @GovRonDeSantis It's not just Tampa Bay, it runs clear down the coast all the way to the literal back yard of Rick Scott's house on a Naples Beach. Let me put you touch with some local scientists in SWFL who don't work at a 4-letter org that takes money from the phosphate mining Industry.. ",altNOAA,{'$date': '2021-07-12T00:00:00Z'},https://pbs.twimg.com/profile_images/824692083180986368/ghs8RK-P_normal.jpg,Hillsborough,108,other
"@NWSTampaBay Lots going on today. For Pinellas, marginal risk of severe T-storms today. Small Craft Advisory Fri. to Sat. mornings. Medium-high concentrations of Red Tide. Other than that, rather chilly: Sat. morning low 33; Sun. morning low 31. Mon. morning low 34. . https   twitter com PinellasEM status 1605985010728652800 photo 1",PinellasEM,{'$date': '2022-12-22T00:00:00Z'},https://pbs.twimg.com/profile_images/1537439573671759872/BYs-pUiL_normal.jpg,Pinellas,167,gov
@noralove @StephenKing Lived in Bradenton Beach for 10 yrs. NO winter red tide.. ,kingfrook,{'$date': '2019-01-04T00:00:00Z'},https://pbs.twimg.com/profile_images/1561753456288964608/55jhDL42_normal.jpg,Manatee,16,No Label
"Another ""red tide"" left 15 tons of dead fish on Tampa Bay’s shore, and experts warn of more destruction . https   www washingtonpost com nation 2021 07 12 red tide st petersburg dead fish",washingtonpost,{'$date': '2021-07-12T00:00:00Z'},https://pbs.twimg.com/profile_images/1060271522319925257/fJKwJ0r2_normal.jpg,Pinellas,292,other
NEW: SkyFOX spots 'island' of dead fish rotting off St. Pete Pier; more in canals:  . https   www fox13news com news in one day nine tons of dead fish removed from st pete waters due to red tide elsa. https   twitter com FOX13News status 1413530670077550601 photo 1,FOX13News,{'$date': '2021-07-09T00:00:00Z'},https://pbs.twimg.com/profile_images/1459177564178681893/Y3jxK1Xd_normal.jpg,Pinellas,59,media
"RT @altNOAA: I don't know why Rick Scott would think he would be with friends in a town that has been devastated by Red Tide; but he learned a hard lesson today in Venice, #Florida!  No to #RedTideRick and lets fix this damn algae problem!
. https   www orlandoweekly com Blogs archives 2018 09 17 rick scott bood out of restaurant over floridas red tide crisis",YaffaDina,{'$date': '2018-09-17T00:00:00Z'},https://pbs.twimg.com/profile_images/1514428883218616323/dtVjPGty_normal.jpg,Sarasota,127,No Label
@nikkifried If Florida had embraced Algae-tech for nutrient runoff and wastewater cleanup then it would be a multi-Billion dollar/year business by now with job creation and revenue generation for the state.. ,Sean_OHanlon,{'$date': '2021-03-30T00:00:00Z'},https://pbs.twimg.com/profile_images/1497146754206216202/oN_RlKvC_normal.jpg,Manatee,14,No Label
"Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in CHARLOTTE, MANATEE and SARASOTA counties. Conditions may vary. For latest updates at individual beaches, see  . https   go usa gov xMzx5. https   twitter com NWSTampaBay status 1590341102128635904 photo 1",NWSTampaBay,{'$date': '2022-11-09T00:00:00Z'},https://pbs.twimg.com/profile_images/875684318441385984/xXJdcbmq_normal.jpg,Sarasota,66,No Label
"Over the next 36 hours,  @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in MANATEE and PINELLAS counties. Conditions may vary. For latest updates at individual beaches, see . . https   go usa gov xMzx5. https   twitter com NWSTampaBay status 1603029738200698883 photo 1",NWSTampaBay,{'$date': '2022-12-14T00:00:00Z'},https://pbs.twimg.com/profile_images/875684318441385984/xXJdcbmq_normal.jpg,Pinellas,35,No Label
